Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color,Target
Kia Carnival,23.46,19.1,7,Hatchback,Petrol,Manual,New,Luxury,Silver,Not Recommended
Honda City,18.8,21.3,6,Hatchback,Petrol,Automatic,Used,Luxury,White,Recommended
Maruti WagonR,24.18,16.4,7,Sedan,Electric,Automatic,New,Luxury,Silver,Recommended
Toyota Fortuner,6.47,20.4,4,Sedan,Petrol,Manual,Used,Luxury,Red,Recommended
Toyota Innova,25.61,10.9,5,Hatchback,Electric,Automatic,Used,Luxury,Silver,Recommended
Hyundai Aura,21.21,10.2,7,SUV,Electric,Manual,New,Luxury,Blue,Recommended
Hyundai Aura,38.62,10.1,6,Sedan,Diesel,Manual,Used,Luxury,White,Recommended
Kia Sonet,5.09,10.1,7,Sedan,Diesel,Automatic,New,Luxury,Blue,Not Recommended
Hyundai Aura,31.02,17.6,5,Hatchback,Petrol,Manual,Used,Luxury,Black,Recommended
Maruti Baleno,38.91,14.4,5,Hatchback,Diesel,Automatic,Used,Luxury,Black,Recommended
Maruti Dzire,26.19,14.4,4,Hatchback,Electric,Manual,New,Luxury,Red,Not Recommended
Hyundai Aura,12.55,12.0,6,Hatchback,Petrol,Manual,Used,Luxury,Red,Not Recommended
Kia Carnival,9.44,14.2,7,Hatchback,Petrol,Manual,New,Luxury,Silver,Recommended
Hyundai Grand i10,29.15,11.6,5,Sedan,Electric,Manual,Used,Luxury,Blue,Recommended
Honda WR-V,44.88,23.7,7,Hatchback,Petrol,Manual,New,Luxury,Black,Recommended
Tata Safari,42.43,24.1,6,SUV,Petrol,Manual,New,Luxury,White,Not Recommended
Hyundai Creta,10.23,21.6,7,Sedan,Electric,Manual,Used,Luxury,White,Recommended
Tata Altroz,29.66,11.7,5,Hatchback,Electric,Automatic,New,Luxury,Blue,Recommended
Hyundai Creta,21.94,12.5,5,Hatchback,Electric,Manual,Used,Luxury,Black,Not Recommended
Honda Amaze,43.81,10.8,6,Sedan,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Maruti Swift,40.04,23.6,5,Sedan,Electric,Automatic,New,Luxury,Red,Recommended
Hyundai Creta,12.28,18.1,4,Sedan,Petrol,Manual,Used,Luxury,White,Recommended
Honda Amaze,37.72,15.7,7,Hatchback,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Tata Tiago,21.13,16.9,4,Hatchback,Electric,Manual,Used,Luxury,Black,Not Recommended
Honda Jazz,11.3,16.6,6,Sedan,Diesel,Automatic,New,Luxury,Black,Recommended
Tata Harrier,10.87,13.3,7,Hatchback,Diesel,Automatic,New,Luxury,White,Recommended
Tata Punch,27.05,16.5,5,SUV,Diesel,Automatic,New,Luxury,Red,Not Recommended
Tata Nexon,9.61,11.0,7,Sedan,Diesel,Manual,New,Luxury,White,Recommended
Tata Altroz,5.73,13.1,7,Sedan,Petrol,Automatic,New,Luxury,Black,Recommended
Toyota Innova,39.4,16.1,6,Hatchback,Electric,Manual,New,Luxury,White,Recommended
Kia Seltos,44.64,22.3,4,Hatchback,Electric,Automatic,New,Luxury,Black,Recommended
Toyota Innova,8.27,17.8,6,SUV,Diesel,Automatic,New,Luxury,Blue,Recommended
Hyundai Creta,16.43,15.5,4,Hatchback,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Honda Civic,29.97,19.6,4,Hatchback,Diesel,Manual,New,Luxury,Blue,Recommended
Maruti Swift,31.93,12.1,7,Sedan,Electric,Automatic,Used,Luxury,White,Recommended
Honda Civic,42.95,21.6,5,Sedan,Diesel,Automatic,New,Luxury,White,Recommended
Toyota Innova,36.38,10.0,4,Hatchback,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Maruti Swift,31.37,23.0,6,Sedan,Diesel,Automatic,New,Luxury,Blue,Recommended
Tata Safari,29.54,14.4,7,SUV,Diesel,Automatic,Used,Luxury,Red,Recommended
Mahindra Bolero,35.96,22.0,7,Hatchback,Electric,Manual,Used,Luxury,Red,Recommended
Maruti Dzire,11.11,11.7,7,Hatchback,Petrol,Automatic,Used,Luxury,Blue,Recommended
Honda Jazz,22.51,22.1,4,SUV,Electric,Manual,Used,Luxury,Silver,Recommended
Hyundai Venue,13.18,12.8,6,Sedan,Diesel,Automatic,Used,Luxury,White,Not Recommended
Toyota Innova,11.37,15.1,5,Sedan,Electric,Manual,New,Luxury,Red,Not Recommended
Hyundai Elantra,33.04,20.0,7,Hatchback,Diesel,Automatic,New,Luxury,Black,Not Recommended
Hyundai Creta,16.07,23.3,7,SUV,Diesel,Automatic,New,Luxury,Red,Recommended
Maruti Baleno,32.59,24.5,5,SUV,Petrol,Manual,New,Luxury,Blue,Recommended
Maruti WagonR,32.44,20.9,7,Hatchback,Diesel,Automatic,Used,Luxury,Blue,Recommended
Mahindra Bolero,28.0,24.8,6,Sedan,Diesel,Automatic,New,Luxury,Red,Not Recommended
Maruti Baleno,19.57,24.7,7,SUV,Diesel,Manual,Used,Luxury,Red,Not Recommended
Tata Tigor,16.72,23.4,5,Sedan,Diesel,Automatic,Used,Luxury,Blue,Not Recommended
Honda Civic,13.58,17.8,6,SUV,Electric,Manual,New,Luxury,Blue,Not Recommended
Honda WR-V,10.5,12.1,6,Hatchback,Petrol,Manual,Used,Luxury,Red,Recommended
Hyundai Creta,34.23,17.9,4,Hatchback,Diesel,Automatic,New,Luxury,White,Recommended
Toyota Glanza,14.65,22.8,4,Hatchback,Electric,Manual,Used,Luxury,Silver,Not Recommended
Hyundai Venue,14.56,21.3,5,Hatchback,Petrol,Manual,New,Luxury,Red,Recommended
Hyundai Elantra,37.81,22.3,4,Hatchback,Electric,Automatic,New,Luxury,Blue,Recommended
Tata Safari,42.42,16.2,4,SUV,Petrol,Automatic,New,Luxury,Blue,Not Recommended
Tata Harrier,32.11,23.2,5,Hatchback,Electric,Automatic,New,Luxury,Red,Recommended
Tata Tigor,11.17,18.0,4,Sedan,Electric,Automatic,New,Luxury,Red,Recommended
Toyota Innova,20.27,19.2,5,Sedan,Diesel,Automatic,Used,Luxury,White,Recommended
Honda Jazz,5.39,20.0,4,SUV,Petrol,Manual,Used,Luxury,Red,Not Recommended
Hyundai Venue,18.26,18.1,4,Sedan,Diesel,Manual,New,Luxury,Silver,Recommended
Mahindra Scorpio,7.85,18.1,6,Sedan,Petrol,Automatic,Used,Luxury,Black,Recommended
Hyundai Creta,6.47,16.2,6,SUV,Diesel,Manual,New,Luxury,White,Not Recommended
Tata Altroz,44.5,23.2,7,Hatchback,Diesel,Automatic,Used,Luxury,Blue,Recommended
Maruti Baleno,19.57,24.7,7,SUV,Diesel,Manual,Used,Luxury,Red,Not Recommended
Hyundai Tucson,20.3,14.5,4,Sedan,Petrol,Automatic,New,Luxury,Blue,Not Recommended
Hyundai Venue,6.13,17.7,5,Hatchback,Petrol,Manual,Used,Luxury,Black,Not Recommended
Tata Hexa,44.98,19.3,5,Hatchback,Petrol,Automatic,Used,Luxury,Black,Recommended
Tata Hexa,33.37,11.1,6,SUV,Electric,Manual,Used,Luxury,Red,Recommended
Kia Seltos,23.98,10.0,6,Hatchback,Electric,Manual,Used,Luxury,White,Not Recommended
Hyundai Elantra,11.26,14.5,6,Hatchback,Diesel,Manual,New,Luxury,Blue,Not Recommended
Tata Nexon,38.64,24.9,6,SUV,Electric,Manual,New,Luxury,Red,Recommended
Tata Punch,7.75,16.6,7,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Recommended
Tata Hexa,44.68,19.1,5,Hatchback,Electric,Manual,Used,Luxury,Black,Recommended
Hyundai Elantra,22.85,15.6,7,Sedan,Diesel,Automatic,New,Luxury,Blue,Not Recommended
Toyota Fortuner,20.68,10.6,5,SUV,Petrol,Automatic,Used,Luxury,White,Recommended
Kia Seltos,33.06,16.9,6,Hatchback,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Maruti Dzire,5.33,22.5,7,Sedan,Petrol,Automatic,New,Luxury,Black,Not Recommended
Hyundai Grand i10,29.15,11.6,5,Sedan,Electric,Manual,Used,Luxury,Blue,Recommended
Tata Safari,10.96,16.5,4,Sedan,Diesel,Automatic,Used,Luxury,White,Recommended
Maruti Baleno,18.86,15.1,7,Hatchback,Petrol,Manual,Used,Luxury,Silver,Recommended
Hyundai i20,26.53,21.6,5,Sedan,Petrol,Automatic,New,Luxury,White,Not Recommended
Tata Punch,22.92,24.7,5,Sedan,Electric,Manual,Used,Luxury,Red,Recommended
Tata Tiago,36.78,21.5,4,Sedan,Diesel,Manual,New,Luxury,Black,Recommended
Hyundai Aura,44.01,22.4,4,SUV,Electric,Automatic,Used,Luxury,White,Recommended
Mahindra Bolero,40.97,22.7,6,Sedan,Diesel,Manual,New,Luxury,White,Not Recommended
Tata Harrier,29.28,11.7,5,Hatchback,Petrol,Automatic,New,Luxury,Silver,Not Recommended
Kia Carens,38.9,11.2,6,Hatchback,Petrol,Automatic,New,Luxury,Black,Recommended
Kia Sonet,27.79,22.8,6,Sedan,Electric,Manual,New,Luxury,Silver,Recommended
Maruti Brezza,12.74,23.5,5,SUV,Diesel,Manual,Used,Luxury,Red,Recommended
Toyota Glanza,37.19,16.3,6,Hatchback,Diesel,Automatic,Used,Luxury,Silver,Recommended
Kia Carens,40.33,22.9,6,Hatchback,Electric,Automatic,New,Luxury,Red,Not Recommended
Hyundai Creta,16.43,15.5,4,Hatchback,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Tata Nexon,15.84,18.6,6,Sedan,Electric,Manual,New,Luxury,Blue,Recommended
Honda Amaze,16.11,17.5,7,Sedan,Petrol,Manual,Used,Luxury,White,Not Recommended
Hyundai Tucson,4.75,17.7,4,Sedan,Electric,Manual,New,Luxury,Red,Not Recommended
Tata Hexa,30.66,14.4,6,SUV,Diesel,Manual,Used,Luxury,Silver,Not Recommended
Hyundai Tucson,37.73,16.0,6,Sedan,Petrol,Automatic,Used,Luxury,White,Recommended
Honda CR-V,10.15,12.0,4,SUV,Electric,Automatic,Used,Luxury,Blue,Recommended
Hyundai Venue,37.37,13.7,6,Hatchback,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Honda Jazz,14.06,22.6,4,Hatchback,Diesel,Manual,New,Luxury,White,Not Recommended
Tata Tigor,37.53,14.1,7,Sedan,Petrol,Automatic,New,Luxury,Silver,Not Recommended
Tata Safari,23.83,17.3,4,Hatchback,Diesel,Automatic,Used,Luxury,Silver,Not Recommended
Hyundai Elantra,38.82,21.7,4,SUV,Electric,Automatic,New,Luxury,Black,Not Recommended
Honda City,25.28,17.7,6,SUV,Electric,Manual,New,Luxury,Red,Recommended
Tata Harrier,40.69,23.1,4,Sedan,Electric,Automatic,Used,Luxury,Silver,Not Recommended
Honda CR-V,44.49,18.9,7,Hatchback,Petrol,Automatic,New,Luxury,Black,Not Recommended
Maruti Alto,10.36,10.6,7,Sedan,Diesel,Manual,New,Luxury,Silver,Recommended
Hyundai i20,33.74,23.1,6,Hatchback,Petrol,Manual,Used,Luxury,Red,Not Recommended
Maruti WagonR,33.48,12.8,7,Hatchback,Electric,Automatic,Used,Luxury,Red,Recommended
Maruti Brezza,36.71,11.9,5,Hatchback,Petrol,Automatic,Used,Luxury,Blue,Recommended
Mahindra Thar,25.88,16.6,4,Hatchback,Diesel,Manual,New,Luxury,Black,Not Recommended
Honda Civic,12.86,14.0,4,SUV,Diesel,Automatic,Used,Luxury,White,Not Recommended
Honda Jazz,38.12,19.5,7,Hatchback,Petrol,Manual,New,Luxury,White,Recommended
Toyota Glanza,24.0,23.4,6,Hatchback,Diesel,Automatic,New,Luxury,Silver,Recommended
Tata Nexon,10.25,21.4,6,Sedan,Electric,Manual,New,Luxury,Red,Recommended
Kia Seltos,18.36,15.9,4,Sedan,Petrol,Manual,Used,Luxury,Black,Not Recommended
Honda City,7.32,18.4,4,SUV,Electric,Automatic,New,Luxury,White,Recommended
Tata Nexon,13.1,18.5,7,SUV,Electric,Manual,New,Luxury,Silver,Recommended
Honda City,25.53,21.5,6,Hatchback,Electric,Manual,New,Luxury,Red,Recommended
Mahindra XUV300,9.74,16.2,5,Hatchback,Petrol,Manual,New,Luxury,White,Not Recommended
Tata Punch,29.57,19.7,5,Sedan,Diesel,Manual,Used,Luxury,Red,Recommended
Tata Hexa,27.16,22.6,4,SUV,Diesel,Automatic,Used,Luxury,Silver,Not Recommended
Honda City,24.37,16.7,7,Hatchback,Electric,Manual,Used,Luxury,Blue,Recommended
Hyundai i20,27.39,15.2,4,SUV,Diesel,Automatic,Used,Luxury,Red,Not Recommended
Hyundai Elantra,13.51,11.8,5,Sedan,Diesel,Automatic,Used,Luxury,White,Not Recommended
Maruti Baleno,43.76,20.6,7,SUV,Electric,Manual,Used,Luxury,Red,Recommended
Hyundai i20,37.12,12.0,7,Sedan,Diesel,Automatic,Used,Luxury,Red,Recommended
Hyundai i20,26.53,21.6,5,Sedan,Petrol,Automatic,New,Luxury,White,Not Recommended
Mahindra Thar,9.38,11.0,4,SUV,Diesel,Automatic,New,Luxury,Silver,Not Recommended
Tata Tiago,41.83,11.9,6,SUV,Electric,Manual,Used,Luxury,White,Not Recommended
Maruti Dzire,39.03,20.4,6,Sedan,Electric,Automatic,New,Luxury,White,Not Recommended
Hyundai Verna,33.28,11.3,6,SUV,Electric,Manual,New,Luxury,Red,Not Recommended
Hyundai Aura,36.81,14.1,4,Sedan,Petrol,Automatic,Used,Luxury,Black,Recommended
Toyota Innova,42.89,18.9,4,Hatchback,Electric,Automatic,New,Luxury,White,Not Recommended
Hyundai Verna,36.92,10.1,4,SUV,Diesel,Manual,New,Luxury,Red,Recommended
Tata Hexa,18.38,20.0,7,Hatchback,Petrol,Automatic,Used,Luxury,Silver,Not Recommended
Kia Carnival,34.74,18.2,6,Hatchback,Petrol,Manual,Used,Luxury,Blue,Not Recommended
Maruti Baleno,36.06,16.5,7,Sedan,Petrol,Automatic,Used,Luxury,Red,Recommended
Tata Hexa,5.64,10.2,6,SUV,Petrol,Automatic,New,Luxury,Red,Not Recommended
Tata Nexon,22.84,11.1,4,Sedan,Diesel,Automatic,New,Luxury,White,Recommended
Tata Nexon,10.25,21.4,6,Sedan,Electric,Manual,New,Luxury,Red,Recommended
Tata Hexa,35.17,22.2,6,SUV,Electric,Manual,Used,Luxury,Black,Recommended
Toyota Fortuner,39.27,15.8,6,Sedan,Electric,Manual,Used,Luxury,Blue,Not Recommended
Toyota Glanza,44.45,14.3,6,Sedan,Electric,Automatic,Used,Luxury,Blue,Recommended
Hyundai Creta,32.54,14.2,6,Hatchback,Electric,Automatic,Used,Luxury,Red,Not Recommended
Toyota Glanza,14.65,22.8,4,Hatchback,Electric,Manual,Used,Luxury,Silver,Not Recommended
Toyota Glanza,24.16,16.5,7,Sedan,Electric,Manual,Used,Luxury,Black,Recommended
Hyundai Verna,40.9,12.2,6,Sedan,Diesel,Automatic,Used,Luxury,White,Recommended
Kia Carnival,32.55,15.2,7,Hatchback,Electric,Automatic,New,Luxury,Blue,Not Recommended
Honda Civic,19.66,15.4,5,SUV,Diesel,Manual,New,Luxury,Blue,Recommended
Tata Hexa,27.16,22.6,4,SUV,Diesel,Automatic,Used,Luxury,Silver,Not Recommended
Maruti WagonR,44.64,22.1,4,Hatchback,Petrol,Manual,Used,Luxury,Silver,Recommended
Mahindra Bolero,35.96,22.0,7,Hatchback,Electric,Manual,Used,Luxury,Red,Recommended
Maruti WagonR,26.02,23.4,5,Hatchback,Electric,Manual,New,Luxury,White,Not Recommended
Hyundai Elantra,36.8,12.4,6,Hatchback,Electric,Manual,Used,Luxury,Black,Not Recommended
Toyota Glanza,31.61,12.3,7,Sedan,Petrol,Automatic,New,Luxury,Blue,Recommended
Hyundai i20,14.75,24.1,4,SUV,Petrol,Manual,Used,Luxury,White,Not Recommended
Maruti Swift,18.55,14.8,4,Sedan,Petrol,Automatic,New,Luxury,White,Recommended
Hyundai Grand i10,29.4,10.3,4,Hatchback,Electric,Manual,New,Luxury,Red,Not Recommended
Maruti Baleno,29.22,19.5,4,Sedan,Electric,Automatic,Used,Luxury,Red,Recommended
Tata Hexa,44.68,19.1,5,Hatchback,Electric,Manual,Used,Luxury,Black,Recommended
Toyota Innova,42.69,13.6,6,Hatchback,Diesel,Automatic,New,Luxury,White,Not Recommended
Mahindra Thar,32.21,10.7,6,Hatchback,Diesel,Manual,New,Luxury,Red,Recommended
Mahindra XUV300,21.28,21.2,6,Hatchback,Petrol,Automatic,New,Luxury,White,Recommended
Tata Altroz,13.29,21.2,6,Sedan,Diesel,Automatic,Used,Luxury,Silver,Recommended
Maruti WagonR,9.28,19.3,6,Sedan,Diesel,Manual,New,Luxury,Blue,Recommended
Kia Sonet,33.61,11.5,4,Hatchback,Electric,Manual,Used,Luxury,Black,Recommended
Hyundai Venue,12.03,19.4,4,SUV,Diesel,Automatic,Used,Luxury,Blue,Recommended
Hyundai Grand i10,7.37,18.5,4,Sedan,Petrol,Manual,New,Luxury,Silver,Not Recommended
Hyundai Aura,32.6,20.7,4,Hatchback,Electric,Manual,Used,Luxury,Black,Recommended
Maruti Alto,24.43,10.8,4,Sedan,Petrol,Automatic,Used,Luxury,Silver,Not Recommended
Hyundai i20,29.3,19.7,7,Sedan,Electric,Automatic,New,Luxury,White,Recommended
Hyundai Creta,39.59,20.7,7,Hatchback,Petrol,Manual,Used,Luxury,Silver,Recommended
Hyundai i20,29.36,11.5,7,Hatchback,Petrol,Automatic,Used,Luxury,Red,Not Recommended
Hyundai Aura,25.78,17.6,7,Sedan,Diesel,Automatic,Used,Luxury,Blue,Recommended
Maruti WagonR,19.96,15.8,4,Hatchback,Petrol,Automatic,New,Luxury,Blue,Not Recommended
Tata Hexa,27.16,22.6,4,SUV,Diesel,Automatic,Used,Luxury,Silver,Not Recommended
Hyundai Elantra,31.37,13.5,4,Sedan,Petrol,Automatic,New,Luxury,Black,Not Recommended
Tata Hexa,6.76,13.9,7,SUV,Petrol,Manual,Used,Luxury,White,Recommended
