Car_Name,Budget_Lakh,Mileage_kmpl,Seating_Capacity,Car_Type,Fuel_Type,Transmission,Condition,User_Needs,Car_Color
Mahindra Bolero,14.27,18.7,7,MUV,Electric,Manual,Used,Family,White
Hyundai i20,7.6,12.2,5,Hatchback,Electric,Automatic,New,Sporty,Silver
Honda City,14.84,16.4,5,Sedan,Petrol,Automatic,Excellent,Family,Blue
Maruti Dzire,13.88,16.3,4,Sedan,Diesel,Automatic,New,Luxury,White
Honda City,14.27,15.2,4,Sedan,Hybrid,Automatic,Excellent,Family,Black
Renault Triber,10.41,14.4,7,MUV,Petrol,Automatic,New,Family,Black
Honda Jazz,9.38,14.9,4,Hatchback,Hybrid,Manual,Excellent,Family,Red
Mahindra XUV700,34.58,13.3,4,SUV,Hybrid,Manual,New,Family,Black
Honda City,14.44,16.8,5,Sedan,Petrol,Manual,Used,Family,Grey
Toyota Glanza,25.5,20.4,5,MUV,Petrol,Manual,New,Family,Black
Tata Altroz,5.55,13.1,4,Hatchback,Diesel,Manual,Used,Sporty,Grey
Tata Altroz,5.21,23.0,5,Hatchback,Hybrid,Manual,New,Family,Silver
Maruti Dzire,8.47,18.4,4,Sedan,Petrol,Manual,Excellent,Sporty,Silver
Maruti Ertiga,19.48,20.6,7,MUV,Electric,Manual,Excellent,Luxury,Red
Kia Sonet,5.45,23.6,5,Hatchback,Diesel,Manual,Excellent,Family,Grey
Tata Punch,12.81,22.6,4,SUV,Diesel,Manual,Used,Sporty,Grey
Kia Sonet,13.54,22.7,5,MUV,CNG,Automatic,Excellent,Sporty,Blue
Mahindra Bolero,26.14,12.2,7,MUV,Hybrid,Manual,Used,Family,Blue
Kia Seltos,31.33,23.7,5,SUV,CNG,Automatic,Used,Sporty,Blue
Maruti Swift,4.59,12.7,4,Hatchback,Diesel,Manual,New,Sporty,Silver
Honda Amaze,8.73,19.5,4,Sedan,Petrol,Automatic,Excellent,Luxury,White
Maruti Baleno,8.92,15.2,5,Hatchback,CNG,Manual,Excellent,Sporty,Red
Toyota Fortuner,21.68,15.0,5,SUV,Electric,Automatic,Used,Luxury,Red
Tata Punch,10.89,13.3,4,Sedan,CNG,Manual,Used,Family,Red
Maruti Baleno,8.25,15.2,5,Hatchback,Petrol,Manual,New,Family,Red
Toyota Innova,23.96,22.6,7,MUV,Hybrid,Manual,Excellent,Sporty,Blue
Mahindra Scorpio,30.45,16.9,4,SUV,Electric,Automatic,New,Sporty,Black
Toyota Innova,26.2,14.5,7,MUV,Diesel,Automatic,Excellent,Sporty,Black
Renault Triber,15.59,23.7,7,MUV,Electric,Automatic,Excellent,Sporty,Blue
Kia Sonet,19.77,17.8,4,MUV,Diesel,Manual,Used,Family,Black
Mahindra XUV700,12.14,17.4,5,SUV,Diesel,Manual,Used,Sporty,White
Tata Harrier,30.05,22.2,5,SUV,CNG,Manual,Used,Family,Grey
Renault Triber,24.85,15.3,7,MUV,Electric,Automatic,Excellent,Family,Blue
Kia Sonet,13.83,15.4,5,Sedan,CNG,Manual,Used,Sporty,Blue
Hyundai Venue,33.73,14.1,5,SUV,Hybrid,Automatic,Excellent,Sporty,Grey
Renault Triber,10.62,18.5,7,MUV,Electric,Automatic,Excellent,Luxury,Grey
Honda Jazz,7.36,17.2,4,Hatchback,Diesel,Manual,Used,Family,Blue
Hyundai Verna,15.82,21.9,4,Sedan,Petrol,Manual,Used,Luxury,Silver
Tata Harrier,30.38,21.4,4,SUV,Diesel,Automatic,Excellent,Luxury,Black
Toyota Fortuner,21.7,19.8,4,SUV,CNG,Automatic,Excellent,Sporty,Silver
Kia Sonet,11.86,13.9,5,SUV,Electric,Automatic,New,Sporty,Blue
Hyundai i20,8.04,20.4,5,Hatchback,CNG,Automatic,New,Sporty,Black
Tata Harrier,21.42,23.5,5,SUV,CNG,Automatic,Excellent,Luxury,Red
Mahindra Bolero,16.89,14.6,7,MUV,Diesel,Automatic,New,Sporty,Grey
Toyota Glanza,18.0,16.0,4,SUV,Petrol,Automatic,New,Family,Black
Honda Jazz,8.37,18.3,4,Hatchback,CNG,Automatic,Used,Luxury,Black
Kia Seltos,28.39,19.7,4,SUV,CNG,Manual,New,Sporty,Red
Kia Sonet,24.47,15.2,4,SUV,CNG,Manual,New,Luxury,Black
Hyundai Venue,20.06,23.0,4,SUV,Electric,Manual,Excellent,Luxury,Red
Mahindra XUV700,23.33,18.0,4,SUV,Hybrid,Automatic,New,Family,Blue
Toyota Innova,23.11,16.5,7,MUV,Hybrid,Manual,Excellent,Luxury,White
Renault Kiger,19.3,17.1,5,SUV,Electric,Automatic,New,Sporty,White
Hyundai i20,4.29,15.8,5,Hatchback,Hybrid,Automatic,Excellent,Family,Blue
Renault Kiger,28.83,18.3,4,SUV,Petrol,Automatic,New,Luxury,Red
Maruti Swift,8.36,23.4,5,Hatchback,CNG,Automatic,Excellent,Sporty,White
Kia Sonet,26.86,22.4,4,SUV,Diesel,Manual,New,Luxury,Grey
Kia Sonet,29.76,16.8,5,MUV,Electric,Manual,Excellent,Luxury,Blue
Mahindra Scorpio,15.56,16.5,5,SUV,Petrol,Manual,Excellent,Family,White
Toyota Glanza,22.91,18.4,4,MUV,Hybrid,Automatic,New,Luxury,Blue
Mahindra Bolero,22.61,18.3,7,MUV,Electric,Automatic,Used,Family,Black
Maruti Swift,9.06,14.7,5,Hatchback,Electric,Manual,Used,Sporty,Black
Hyundai Venue,32.0,12.2,4,SUV,Electric,Manual,Used,Family,Red
Tata Harrier,17.61,17.0,4,SUV,Petrol,Automatic,Used,Family,Blue
Hyundai Venue,26.2,22.9,5,SUV,CNG,Automatic,Used,Sporty,Grey
Maruti Ertiga,12.73,12.8,7,MUV,Petrol,Manual,New,Sporty,Silver
Renault Kiger,20.3,16.2,4,SUV,Hybrid,Automatic,Used,Luxury,Silver
Toyota Glanza,10.34,18.2,5,Sedan,Petrol,Manual,Used,Sporty,Black
Toyota Fortuner,12.44,16.2,4,SUV,Petrol,Automatic,New,Luxury,Silver
Mahindra Bolero,11.37,17.7,7,MUV,CNG,Manual,Used,Family,Blue
Mahindra XUV700,22.06,13.5,4,SUV,Petrol,Manual,Excellent,Sporty,Black
Maruti Swift,6.64,14.0,4,Hatchback,Diesel,Manual,Excellent,Family,Black
Honda Amaze,16.74,20.3,4,Sedan,Hybrid,Manual,New,Sporty,Red
Maruti Baleno,8.79,19.5,5,Hatchback,Electric,Automatic,Used,Luxury,Blue
Maruti Swift,9.18,12.1,5,Hatchback,Diesel,Automatic,Excellent,Family,Silver
Hyundai Creta,23.21,19.3,5,SUV,CNG,Automatic,Used,Sporty,Silver
Toyota Glanza,10.16,14.9,5,Sedan,Diesel,Automatic,Excellent,Luxury,Black
Renault Kiger,11.79,22.8,4,SUV,CNG,Manual,New,Sporty,Silver
Maruti Ertiga,17.65,17.3,7,MUV,Hybrid,Automatic,Used,Sporty,Blue
Tata Harrier,28.98,23.0,4,SUV,Diesel,Manual,Used,Luxury,White
Hyundai Creta,22.47,23.5,4,SUV,Electric,Manual,New,Family,White
Maruti Dzire,10.32,21.4,4,Sedan,Petrol,Automatic,Used,Family,Black
Kia Sonet,15.1,15.4,4,Sedan,Electric,Automatic,Excellent,Family,Grey
Honda City,16.95,14.7,4,Sedan,Petrol,Automatic,Used,Luxury,Black
Mahindra Bolero,16.31,15.5,7,MUV,Electric,Manual,Excellent,Luxury,Grey
Kia Seltos,11.64,20.2,4,SUV,Petrol,Manual,Excellent,Luxury,Blue
Toyota Glanza,8.75,23.4,4,Hatchback,Electric,Manual,Used,Luxury,Black
Toyota Fortuner,14.1,12.9,5,SUV,Electric,Manual,Excellent,Luxury,Black
Kia Seltos,21.4,15.2,5,SUV,Petrol,Automatic,New,Luxury,White
Mahindra XUV700,18.63,21.6,5,SUV,Electric,Manual,Used,Luxury,Black
Hyundai Venue,29.11,20.8,5,SUV,CNG,Manual,Excellent,Sporty,Silver
Tata Punch,20.8,12.5,4,MUV,Electric,Manual,New,Luxury,Silver
Toyota Fortuner,30.83,15.4,5,SUV,CNG,Automatic,Used,Family,White
Maruti Baleno,8.73,16.5,4,Hatchback,Hybrid,Automatic,Used,Family,Silver
Renault Triber,28.81,20.8,7,MUV,Hybrid,Automatic,Excellent,Luxury,Grey
Mahindra Bolero,28.86,12.3,7,MUV,Diesel,Manual,Used,Family,Grey
Maruti Ertiga,21.88,22.9,7,MUV,CNG,Automatic,Used,Luxury,Grey
Hyundai Creta,10.15,17.0,5,SUV,Petrol,Automatic,Used,Sporty,White
Kia Seltos,14.72,19.2,4,SUV,Diesel,Manual,Excellent,Family,Silver
Mahindra Scorpio,19.46,20.9,4,SUV,CNG,Automatic,Used,Sporty,Red
Toyota Fortuner,30.78,12.1,4,SUV,Hybrid,Manual,New,Luxury,White
Hyundai Creta,10.08,17.6,5,SUV,Electric,Manual,New,Family,Silver
Renault Kiger,18.78,14.8,5,SUV,CNG,Manual,Excellent,Family,Red
Mahindra XUV700,17.25,19.1,5,SUV,Diesel,Manual,New,Family,Red
Honda Amaze,16.95,23.6,4,Sedan,Diesel,Manual,Excellent,Luxury,Black
Renault Triber,11.85,19.1,7,MUV,Petrol,Manual,Excellent,Luxury,White
Honda Jazz,8.67,23.0,5,Hatchback,Electric,Automatic,Excellent,Luxury,Red
Renault Kiger,10.73,22.9,5,SUV,Petrol,Automatic,New,Sporty,Silver
Honda Jazz,6.62,12.0,4,Hatchback,Diesel,Automatic,Used,Family,Red
Tata Nexon,13.99,19.0,5,SUV,Hybrid,Manual,Used,Sporty,Silver
Kia Seltos,11.99,17.6,5,SUV,Petrol,Manual,Used,Sporty,Red
Honda Jazz,9.05,18.2,4,Hatchback,Electric,Automatic,Excellent,Family,Silver
Renault Triber,22.4,23.5,7,MUV,Hybrid,Manual,Excellent,Sporty,Blue
Toyota Innova,16.45,22.2,7,MUV,Petrol,Manual,Excellent,Sporty,Grey
Kia Seltos,21.31,17.5,5,SUV,Diesel,Automatic,Used,Family,Red
Maruti Baleno,5.13,20.0,5,Hatchback,CNG,Manual,Used,Sporty,Red
Tata Harrier,24.9,14.8,5,SUV,CNG,Manual,New,Family,Red
Honda Jazz,7.84,15.2,4,Hatchback,Petrol,Manual,Excellent,Sporty,White
Tata Harrier,30.53,12.5,5,SUV,Diesel,Manual,Excellent,Family,Black
Kia Sonet,29.69,12.0,5,MUV,CNG,Manual,Excellent,Luxury,Black
Kia Sonet,24.4,19.5,4,MUV,CNG,Automatic,Used,Luxury,Silver
Honda Amaze,14.29,17.2,5,Sedan,Petrol,Automatic,Excellent,Family,Silver
Maruti Baleno,5.73,21.8,4,Hatchback,CNG,Automatic,New,Family,Grey
Kia Seltos,19.94,19.9,5,SUV,Diesel,Automatic,Used,Sporty,Grey
Maruti Dzire,11.19,17.6,4,Sedan,Diesel,Automatic,New,Family,Blue
Toyota Fortuner,26.49,12.2,4,SUV,Petrol,Manual,New,Luxury,Red
Maruti Dzire,17.31,21.3,5,Sedan,Electric,Automatic,Excellent,Luxury,White
Renault Kiger,13.9,19.9,5,SUV,Electric,Manual,Excellent,Luxury,Silver
Kia Seltos,27.68,17.5,4,SUV,Hybrid,Automatic,Excellent,Family,White
Toyota Innova,29.64,18.0,7,MUV,Hybrid,Automatic,Excellent,Sporty,Black
Maruti Baleno,4.07,17.7,5,Hatchback,CNG,Manual,Excellent,Sporty,Silver
Toyota Glanza,21.05,13.2,5,SUV,Hybrid,Automatic,Used,Family,Grey
Honda Amaze,17.84,21.1,4,Sedan,Hybrid,Manual,New,Family,Red
Hyundai Creta,24.67,22.3,4,SUV,Petrol,Manual,Used,Luxury,White
Renault Kiger,20.0,23.5,5,SUV,Electric,Automatic,New,Family,Grey
Honda Amaze,11.48,15.0,4,Sedan,Diesel,Manual,New,Luxury,White
Mahindra XUV700,16.82,19.5,4,SUV,Petrol,Automatic,Excellent,Family,Red
Tata Altroz,9.3,22.8,4,Hatchback,CNG,Manual,Excellent,Luxury,Black
Mahindra Bolero,19.74,17.8,7,MUV,Hybrid,Automatic,Excellent,Family,Grey
Honda Amaze,13.32,17.3,5,Sedan,Diesel,Automatic,Excellent,Sporty,White
Maruti Baleno,7.74,16.0,5,Hatchback,CNG,Automatic,New,Luxury,Red
Hyundai Creta,26.76,23.4,4,SUV,Petrol,Automatic,Excellent,Luxury,White
Tata Harrier,12.01,19.3,5,SUV,Diesel,Manual,Excellent,Family,Red
Tata Punch,24.77,12.2,5,MUV,Diesel,Manual,Excellent,Sporty,Grey
Mahindra Bolero,29.8,16.3,7,MUV,Petrol,Automatic,Excellent,Luxury,Red
Honda Jazz,4.11,18.4,5,Hatchback,CNG,Automatic,New,Sporty,Silver
Tata Nexon,15.94,23.0,4,SUV,CNG,Automatic,New,Family,Red
Kia Seltos,10.06,16.0,5,SUV,Petrol,Automatic,Excellent,Luxury,Grey
Tata Altroz,9.12,22.3,4,Hatchback,Electric,Manual,Excellent,Luxury,Red
Toyota Fortuner,32.97,15.8,5,SUV,Petrol,Automatic,Used,Luxury,Black
Maruti Baleno,9.54,14.6,5,Hatchback,CNG,Manual,Excellent,Luxury,Red
Renault Triber,18.2,15.6,7,MUV,Hybrid,Automatic,Used,Luxury,Silver
Maruti Ertiga,24.03,18.5,7,MUV,Petrol,Automatic,New,Luxury,Silver
Honda Amaze,15.84,15.1,4,Sedan,Electric,Manual,New,Sporty,Red
Kia Seltos,14.95,17.4,5,SUV,Hybrid,Manual,New,Family,White
Renault Kiger,32.27,16.3,4,SUV,Hybrid,Automatic,Used,Sporty,Grey
Maruti Baleno,8.95,14.4,5,Hatchback,Petrol,Manual,New,Luxury,Red
Kia Seltos,33.39,21.5,4,SUV,CNG,Automatic,Used,Family,Red
Renault Kiger,20.2,19.6,4,SUV,Electric,Manual,Used,Sporty,Blue
Mahindra Scorpio,24.38,19.7,4,SUV,Electric,Manual,Excellent,Luxury,Silver
Maruti Ertiga,11.12,13.8,7,MUV,CNG,Manual,Used,Luxury,Black
Honda Amaze,10.99,17.4,4,Sedan,Hybrid,Automatic,Used,Sporty,Grey
Toyota Glanza,14.17,12.3,4,Sedan,Electric,Manual,Used,Family,Red
Toyota Innova,15.53,15.6,7,MUV,CNG,Automatic,Excellent,Sporty,Black
Mahindra Bolero,20.92,18.1,7,MUV,Hybrid,Manual,Used,Family,Silver
Kia Seltos,22.24,17.1,5,SUV,Petrol,Manual,Used,Sporty,Black
Renault Triber,16.74,18.7,7,MUV,Petrol,Automatic,Excellent,Sporty,Red
Mahindra Bolero,13.82,18.2,7,MUV,CNG,Manual,Used,Luxury,Blue
Hyundai i20,6.95,12.2,5,Hatchback,Petrol,Automatic,Used,Luxury,Silver
Mahindra Bolero,15.66,17.3,7,MUV,Petrol,Automatic,Used,Sporty,White
Kia Sonet,13.44,19.0,5,SUV,Diesel,Automatic,New,Family,Black
Hyundai Venue,11.58,22.7,5,SUV,Diesel,Manual,New,Family,White
Toyota Fortuner,32.92,12.8,5,SUV,Diesel,Manual,New,Sporty,Grey
Mahindra Scorpio,32.81,22.0,4,SUV,CNG,Manual,New,Luxury,Black
Kia Seltos,19.37,13.1,5,SUV,Hybrid,Automatic,Used,Sporty,Blue
Renault Triber,21.58,23.3,7,MUV,Hybrid,Manual,Used,Sporty,Black
Tata Altroz,4.29,20.2,4,Hatchback,Electric,Automatic,New,Sporty,Grey
Kia Seltos,27.6,12.6,5,SUV,Electric,Automatic,Excellent,Family,Black
Mahindra Scorpio,13.59,22.0,5,SUV,Electric,Automatic,New,Family,Blue
Mahindra Bolero,26.03,20.5,7,MUV,Petrol,Automatic,Used,Family,Blue
Renault Triber,22.69,16.9,7,MUV,Electric,Manual,New,Luxury,Grey
Honda Amaze,14.49,14.0,4,Sedan,Petrol,Automatic,Excellent,Luxury,White
Hyundai Venue,19.72,23.6,5,SUV,Diesel,Manual,Excellent,Luxury,Blue
Kia Seltos,11.37,18.1,5,SUV,Hybrid,Automatic,Excellent,Luxury,Red
Kia Sonet,10.16,14.3,5,SUV,Diesel,Manual,Used,Sporty,Silver
Tata Harrier,26.39,13.1,5,SUV,Diesel,Automatic,New,Luxury,Blue
Hyundai Venue,21.46,17.5,5,SUV,CNG,Automatic,Excellent,Luxury,Black
Mahindra Bolero,23.48,23.2,7,MUV,Electric,Manual,New,Sporty,Red
Kia Sonet,24.01,23.9,5,MUV,Electric,Automatic,Excellent,Sporty,Silver
Tata Altroz,8.36,20.5,4,Hatchback,Hybrid,Automatic,New,Family,Red
Renault Triber,15.72,18.8,7,MUV,CNG,Manual,Excellent,Sporty,Silver
Kia Seltos,33.78,18.5,4,SUV,CNG,Automatic,New,Sporty,Grey
Mahindra XUV700,10.88,21.9,5,SUV,Hybrid,Manual,Excellent,Luxury,Black
Renault Triber,17.26,23.4,7,MUV,Diesel,Automatic,Excellent,Family,White
Toyota Innova,20.38,23.1,7,MUV,Diesel,Manual,Excellent,Family,Blue
Honda City,14.89,21.2,4,Sedan,Electric,Manual,New,Family,Red
Honda Jazz,7.79,13.1,5,Hatchback,Hybrid,Automatic,Used,Sporty,White
Tata Harrier,34.29,23.2,5,SUV,CNG,Automatic,Excellent,Sporty,Red
Maruti Baleno,8.72,13.4,5,Hatchback,Diesel,Automatic,New,Sporty,Red
Renault Kiger,17.43,12.1,5,SUV,Electric,Automatic,Excellent,Luxury,Grey
Honda City,17.16,14.2,5,Sedan,CNG,Manual,Used,Sporty,Black
Mahindra Scorpio,21.55,15.2,5,SUV,Hybrid,Automatic,Excellent,Family,Red
Maruti Swift,8.5,12.9,5,Hatchback,Diesel,Automatic,Used,Family,White
Mahindra XUV700,12.56,23.4,5,SUV,Electric,Automatic,Excellent,Family,Blue
Tata Altroz,5.75,12.0,4,Hatchback,Electric,Automatic,Used,Luxury,Silver
Toyota Glanza,14.34,17.8,5,SUV,Electric,Automatic,New,Sporty,Grey
Kia Sonet,33.01,17.4,5,SUV,Hybrid,Automatic,Used,Sporty,Grey
Mahindra Scorpio,14.7,20.4,4,SUV,Petrol,Manual,New,Sporty,Blue
Toyota Fortuner,19.68,15.5,4,SUV,Hybrid,Manual,New,Sporty,White
Toyota Glanza,13.82,15.3,4,SUV,Hybrid,Manual,New,Family,Red
Kia Seltos,19.86,20.8,5,SUV,CNG,Manual,New,Family,Silver
Honda Jazz,8.46,14.3,4,Hatchback,Electric,Automatic,Used,Sporty,Red
Tata Harrier,31.97,18.1,4,SUV,Diesel,Automatic,Excellent,Luxury,Blue
Tata Altroz,5.09,13.1,4,Hatchback,Petrol,Manual,Used,Sporty,Red
Hyundai Verna,17.06,18.0,4,Sedan,CNG,Automatic,New,Family,Red
Toyota Innova,26.47,18.5,7,MUV,Electric,Manual,Excellent,Sporty,Grey
Toyota Innova,11.97,18.9,7,MUV,Petrol,Manual,Excellent,Luxury,Red
Honda Jazz,8.92,20.4,4,Hatchback,Electric,Manual,Used,Sporty,White
Mahindra XUV700,29.64,22.6,4,SUV,Electric,Manual,Used,Family,Grey
Kia Sonet,9.12,18.6,4,Hatchback,Diesel,Automatic,Used,Luxury,Grey
Renault Kiger,28.52,13.6,5,SUV,Diesel,Manual,Used,Family,Silver
Toyota Innova,16.39,23.1,7,MUV,Diesel,Automatic,Excellent,Sporty,Grey
Honda City,12.31,19.6,4,Sedan,Hybrid,Manual,Excellent,Family,Blue
Maruti Dzire,11.91,18.6,4,Sedan,Hybrid,Manual,New,Luxury,White
Renault Triber,18.87,18.2,7,MUV,Petrol,Manual,New,Luxury,Blue
Honda City,10.53,18.5,4,Sedan,CNG,Automatic,Used,Luxury,White
Tata Harrier,22.43,15.7,4,SUV,Hybrid,Manual,Excellent,Sporty,Blue
Honda Jazz,8.98,15.9,5,Hatchback,Petrol,Manual,New,Luxury,White
Hyundai Venue,28.42,12.3,4,SUV,Electric,Automatic,New,Family,Black
Toyota Glanza,15.96,12.8,5,SUV,Petrol,Automatic,Used,Sporty,Grey
Renault Kiger,16.17,22.2,5,SUV,CNG,Automatic,Used,Sporty,Silver
Renault Kiger,22.02,18.9,5,SUV,Electric,Manual,New,Family,Black
Honda Jazz,5.5,22.3,5,Hatchback,Electric,Automatic,Excellent,Family,Grey
Mahindra XUV700,29.73,23.8,5,SUV,Hybrid,Automatic,Excellent,Sporty,Red
Maruti Dzire,12.38,12.1,5,Sedan,Electric,Manual,Excellent,Sporty,Blue
Renault Triber,15.2,13.4,7,MUV,Electric,Manual,Used,Family,Grey
Renault Triber,28.5,15.5,7,MUV,Hybrid,Manual,Used,Luxury,Black
Mahindra Bolero,25.75,23.4,7,MUV,CNG,Automatic,Used,Family,White
Maruti Dzire,16.83,20.0,4,Sedan,CNG,Manual,Excellent,Luxury,White
Tata Punch,24.36,12.7,4,SUV,Hybrid,Automatic,Used,Luxury,Red
Tata Altroz,9.53,24.0,4,Hatchback,Electric,Manual,New,Family,Silver
Hyundai i20,7.79,23.9,4,Hatchback,Diesel,Automatic,New,Luxury,White
Mahindra Scorpio,26.24,18.6,4,SUV,CNG,Automatic,Used,Family,Red
Kia Sonet,15.54,21.8,4,SUV,CNG,Manual,Excellent,Family,Silver
Renault Kiger,15.47,16.2,4,SUV,CNG,Automatic,Excellent,Family,Grey
Hyundai Venue,20.97,16.3,4,SUV,Hybrid,Manual,Used,Family,Grey
Mahindra Scorpio,10.31,15.2,5,SUV,Petrol,Automatic,Excellent,Luxury,Silver
Kia Seltos,32.58,22.0,5,SUV,Petrol,Manual,Excellent,Luxury,Blue
Mahindra Scorpio,23.63,12.3,5,SUV,Petrol,Manual,Used,Luxury,Blue
Renault Triber,28.89,17.1,7,MUV,CNG,Automatic,New,Luxury,Black
Toyota Innova,23.95,16.1,7,MUV,CNG,Manual,Excellent,Luxury,Blue
Maruti Swift,4.69,13.1,4,Hatchback,CNG,Manual,Used,Luxury,Silver
Toyota Glanza,20.81,12.2,4,SUV,Electric,Manual,Used,Luxury,White
Kia Sonet,4.98,14.5,5,Hatchback,CNG,Automatic,New,Luxury,Grey
Honda City,14.34,22.5,5,Sedan,Diesel,Manual,New,Sporty,White
Hyundai i20,6.16,12.6,4,Hatchback,Hybrid,Automatic,Excellent,Luxury,White
Maruti Dzire,13.69,16.3,5,Sedan,Hybrid,Automatic,Excellent,Luxury,Silver
Mahindra Scorpio,30.21,20.0,4,SUV,Electric,Automatic,Excellent,Family,Red
Toyota Fortuner,12.6,22.6,5,SUV,Diesel,Manual,Excellent,Luxury,Blue
Toyota Innova,27.03,13.5,7,MUV,Diesel,Manual,Excellent,Luxury,Blue
Kia Sonet,7.03,14.5,4,Hatchback,CNG,Manual,Used,Luxury,White
Renault Kiger,28.41,14.4,4,SUV,Petrol,Manual,Excellent,Luxury,Red
Kia Sonet,15.38,12.8,4,SUV,Petrol,Automatic,Excellent,Family,Silver
Hyundai Creta,30.03,18.1,4,SUV,Diesel,Automatic,New,Luxury,Black
Kia Sonet,13.81,23.6,5,MUV,Diesel,Automatic,Excellent,Sporty,Grey
Hyundai Venue,24.12,15.3,5,SUV,Hybrid,Automatic,New,Sporty,Black
Tata Harrier,16.64,20.4,4,SUV,CNG,Automatic,Used,Sporty,Silver
Maruti Ertiga,29.68,12.1,7,MUV,Diesel,Automatic,Excellent,Sporty,Black
Toyota Fortuner,23.18,20.9,4,SUV,Hybrid,Manual,Excellent,Sporty,Blue
Maruti Ertiga,14.8,22.4,7,MUV,CNG,Manual,Excellent,Luxury,Blue
Hyundai Venue,20.41,15.5,5,SUV,Petrol,Manual,New,Luxury,White
